id,ip_address,hasCliques
416,107.150.126.142,2
410,13.231.196.91,2
404,157.245.184.147,2
403,52.194.232.221,2
396,47.75.123.231,2
392,54.180.106.31,2
386,,2
385,47.75.95.250,2
384,,2
143,52.25.10.5,2
195,3.112.205.46,2
192,40.115.140.200,2
190,52.194.51.86,2
188,,2
186,13.125.2.230,2
185,35.240.136.34,2
183,34.80.143.120,2
135,18.182.240.144,2
136,35.240.248.73,2
168,202.32.183.77,2
167,202.32.183.85,2
196,54.212.109.192,2
166,3.112.243.227,2
163,54.65.207.39,2
162,13.112.113.210,2
160,13.113.191.214,2
158,47.74.23.8,2
157,103.71.157.239,2
156,34.214.232.175,2
153,54.180.27.189,2
148,,2
144,52.14.42.63,2
233,110.10.124.15,2
123,52.79.214.55,2
124,47.75.95.250,2
125,52.35.30.149,2
126,18.191.139.15,2
259,,2
253,,2
247,18.179.58.149,2
245,128.1.137.104,2
239,13.209.44.12,2
238,47.52.63.164,2
127,35.196.4.114,2
432,159.138.35.202,2
232,,2
230,3.112.30.133,2
228,18.211.246.89,2
128,47.74.187.186,2
221,,2
214,52.194.6.24,2
205,47.74.223.81,2
131,47.74.22.190,2
132,47.244.149.95,2
198,45.76.148.17,2
671,54.214.205.211,2
698,94.130.194.2,2
693,54.250.253.121,2
66,34.84.220.159,2
690,98.202.200.114,2
689,54.219.174.87,2
69,109.94.171.128,2
685,117.55.208.124,2
681,54.92.93.120,2
677,52.173.92.71,2
674,54.95.212.85,2
700,47.244.132.139,2
667,,2
660,34.193.207.130,2
653,,2
650,23.98.39.203,2
648,194.124.156.44,2
647,,2
642,3.112.138.57,2
627,13.251.42.22,2
603,47.244.2.163,2
739,34.247.231.101,2
787,34.239.174.155,2
775,3.90.202.139,2
771,136.243.80.60,2
767,,2
59,52.38.125.205,2
761,34.65.28.149,2
64,13.209.242.137,2
748,3.92.168.137,2
745,,2
476,18.136.66.248,2
737,209.220.136.124,2
720,47.52.135.32,2
714,51.91.18.194,2
712,61.97.253.77,2
711,78.28.225.21,2
708,,2
707,3.18.86.186,2
704,52.199.219.216,2
702,52.141.7.172,2
518,13.114.159.105,2
580,54.95.147.252,2
508,13.229.72.188,2
579,52.25.10.5,2
84,54.169.241.90,2
567,13.57.71.117,2
512,18.220.120.27,2
517,58.138.159.43,2
564,34.220.161.235,2
475,,2
559,34.213.112.56,2
553,147.135.44.236,2
521,167.179.67.31,2
549,128.1.137.64,2
548,52.194.210.76,2
87,52.193.186.216,2
529,,2
540,13.250.32.77,2
487,47.75.132.155,2
594,34.232.88.98,2
97,13.230.237.195,2
479,211.54.40.141,2
593,168.63.212.134,2
82,47.75.109.126,2
589,72.230.67.115,2
1003,,1
1030,,1
133,52.193.186.216,1
1069,,1
103,54.250.195.159,1
50,,1
1067,,1
1066,115.68.139.93,1
1065,,1
141,54.95.35.107,1
1034,,1
1038,,1
1064,211.218.211.221,1
1070,,1
93,13.112.254.157,1
60,13.230.225.131,1
1032,,1
1060,,1
1033,169.56.114.54,1
1053,,1
1025,180.168.38.190,1
73,,1
71,153.120.171.176,1
1048,,1
1049,,1
1050,,1
80,52.62.138.234,1
1026,,1
1027,,1
1051,,1
122,54.65.207.39,1
1052,,1
1019,,1
1018,51.105.129.97,1
